id,title,userName,numViews,numVotes,numComments,numHearts,rank,dateCreated,colors/0,colors/1,colors/2,colors/3,colors/4,description,url,imageUrl,badgeUrl,apiUrl,colorWidths/0,colorWidths/1,colorWidths/2,colorWidths/3,colorWidths/4,colors/5,colors/6,colors/7,colors/8,colors/9,colorWidths/5,colorWidths/6,colorWidths/7,colorWidths/8,colorWidths/9
92095,Giant Goldfish,manekineko,975905,11689,780,4.5,1,2007-07-03 10:42:02,69D2E7,A7DBD8,E0E4CC,F38630,FA6900,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/92095/Giant_Goldfish,http://www.colourlovers.com/paletteImg/69D2E7/A7DBD8/E0E4CC/F38630/FA6900/Giant_Goldfish.png,http://www.colourlovers.com/images/badges/p/92/92095_Giant_Goldfish.png,http://www.colourlovers.com/api/palette/92095,,,,,,,,,,,,,,,
629637,(???),sugar!,377072,8608,399,5,2,2008-12-02 09:31:23,FE4365,FC9D9A,F9CDAD,C8C8A9,83AF9B,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/629637/(),http://www.colourlovers.com/paletteImg/FE4365/FC9D9A/F9CDAD/C8C8A9/83AF9B/().png,http://www.colourlovers.com/images/badges/pw/629/629637_().png,http://www.colourlovers.com/api/palette/629637,,,,,,,,,,,,,,,
694737,Thought Provoking,Miss_Anthropy,415703,7841,384,5,3,2009-02-03 16:46:36,ECD078,D95B43,C02942,542437,53777A,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/694737/Thought_Provoking,http://www.colourlovers.com/paletteImg/ECD078/D95B43/C02942/542437/53777A/Thought_Provoking.png,http://www.colourlovers.com/images/badges/p/694/694737_Thought_Provoking.png,http://www.colourlovers.com/api/palette/694737,,,,,,,,,,,,,,,
1930,cheer up emo kid,electrikmonk,459397,6789,254,3.5,4,2005-08-20 06:19:40,556270,4ECDC4,C7F464,FF6B6B,C44D58,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/1930/cheer_up_emo_kid,http://www.colourlovers.com/paletteImg/556270/4ECDC4/C7F464/FF6B6B/C44D58/cheer_up_emo_kid.png,http://www.colourlovers.com/images/badges/p/1/1930_cheer_up_emo_kid.png,http://www.colourlovers.com/api/palette/1930,,,,,,,,,,,,,,,
49963,let them eat cake,lunalein,276392,5663,291,5,6,2007-03-01 11:08:04,774F38,E08E79,F1D4AF,ECE5CE,C5E0DC,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/49963/let_them_eat_cake,http://www.colourlovers.com/paletteImg/774F38/E08E79/F1D4AF/ECE5CE/C5E0DC/let_them_eat_cake.png,http://www.colourlovers.com/images/badges/p/49/49963_let_them_eat_cake.png,http://www.colourlovers.com/api/palette/49963,,,,,,,,,,,,,,,
292482,Terra?,GlueStudio,347996,5327,582,4.5,7,2008-02-29 08:37:21,E8DDCB,CDB380,036564,033649,031634,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/292482/Terra,http://www.colourlovers.com/paletteImg/E8DDCB/CDB380/036564/033649/031634/Terra.png,http://www.colourlovers.com/images/badges/pw/292/292482_Terra.png,http://www.colourlovers.com/api/palette/292482,,,,,,,,,,,,,,,
848743,(? ” ?),sugar!,258225,4635,273,4.5,9,2009-06-05 00:38:14,490A3D,BD1550,E97F02,F8CA00,8A9B0F,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/848743/(_”_),http://www.colourlovers.com/paletteImg/490A3D/BD1550/E97F02/F8CA00/8A9B0F/(_”_).png,http://www.colourlovers.com/images/badges/pw/848/848743_(__).png,http://www.colourlovers.com/api/palette/848743,,,,,,,,,,,,,,,
443995,i demand a pancake,alpen,217742,4564,431,5,10,2008-07-03 13:30:31,594F4F,547980,45ADA8,9DE0AD,E5FCC2,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/443995/i_demand_a_pancake,http://www.colourlovers.com/paletteImg/594F4F/547980/45ADA8/9DE0AD/E5FCC2/i_demand_a_pancake.png,http://www.colourlovers.com/images/badges/p/443/443995_i_demand_a_pancake.png,http://www.colourlovers.com/api/palette/443995,,,,,,,,,,,,,,,
1473,Ocean Five,DESIGNJUNKEE,281227,4363,110,0,11,2005-08-13 14:25:49,00A0B0,6A4A3C,CC333F,EB6841,EDC951,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/1473/Ocean_Five,http://www.colourlovers.com/paletteImg/00A0B0/6A4A3C/CC333F/EB6841/EDC951/Ocean_Five.png,http://www.colourlovers.com/images/badges/p/1/1473_Ocean_Five.png,http://www.colourlovers.com/api/palette/1473,,,,,,,,,,,,,,,
867235,LoversInJapan,lovelyrita,158479,4185,135,4.5,12,2009-06-21 16:16:32,E94E77,D68189,C6A49A,C6E5D9,F4EAD5,"I-MOO
<div style=""width: 300px; text-align: center;""><a href=""http://www.colourlovers.com/contests/moo/minicard/2291466"" target=""_blank"" style=""display: block; margin-bottom: 5px; width: 300px; height: 120px; -moz-box-shadow: 0 1px 4px #d1d1d1; -webkit-box-shadow: 0 1px 4px #d1d1d1; box-shadow: 0 1px 4px #d1d1d1; filter: progid:DXImageTransform.Microsoft.Shadow(Strength=1, Direction=180, Color=",http://www.colourlovers.com/palette/867235/LoversInJapan,http://www.colourlovers.com/paletteImg/E94E77/D68189/C6A49A/C6E5D9/F4EAD5/LoversInJapan.png,http://www.colourlovers.com/images/badges/pw/867/867235_LoversInJapan.png,http://www.colourlovers.com/api/palette/867235,,,,,,,,,,,,,,,
